line_number,committee_name,file_number,related_line_number,committee_id,recipient_name,recipient_city,recipient_state,recipient_zip,recipient_prefix,recipient_suffix,beneficiary_committee_name,disbursement_type,disbursement_description,disbursement_date,disbursement_amount,semi_annual_bundled_refund,candidate_office,candidate_office_district,transaction_id,image_number,entity_type,amendment_indicator,memo_code,memo_text,back_reference_transaction_id,back_reference_schedule_name,load_timestamp
17,REYNOSO FOR CONGRESS,1982841,525,C00929372,ActBlue Technical Services,Boston,MA,021962017,,,,,Service Fee,2026-04-05,446.25,,,,500744238,202606119870651405,ORG,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,526,C00929372,ActBlue Technical Services,Boston,MA,021962017,,,,,Service Fee,2026-04-12,78.34,,,,500751111,202606119870651405,ORG,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,527,C00929372,ActBlue Technical Services,Boston,MA,021962017,,,,,Service Fee,2026-04-19,40.36,,,,500751112,202606119870651405,ORG,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,528,C00929372,ActBlue Technical Services,Boston,MA,021962017,,,,,Service Fee,2026-04-26,496.96,,,,500751113,202606119870651406,ORG,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,529,C00929372,ActBlue Technical Services,Boston,MA,021962017,,,,,Service Fee,2026-05-03,339.35,,,,500751116,202606119870651406,ORG,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,530,C00929372,ActBlue Technical Services,Boston,MA,021962017,,,,,Service Fee,2026-05-10,665.66,,,,500751122,202606119870651406,ORG,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,531,C00929372,ActBlue Technical Services,Boston,MA,021962017,,,,,Service Fee,2026-05-17,2046.56,,,,500751123,202606119870651407,ORG,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,532,C00929372,ActBlue Technical Services,Boston,MA,021962017,,,,,Service Fee,2026-05-24,2258.12,,,,500751125,202606119870651407,ORG,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,533,C00929372,ActBlue Technical Services,Boston,MA,021962017,,,,,Service Fee,2026-05-31,1163.64,,,,500751136,202606119870651407,ORG,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,534,C00929372,ActBlue Technical Services,Boston,MA,021962017,,,,,Service Fee,2026-06-03,708.85,,,,500751139,202606119870651408,ORG,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,535,C00929372,Amalgamated Bank,Washington,DC,200061202,,,,,Bank Fees,2026-04-28,165.47,,,,500751114,202606119870651408,ORG,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,536,C00929372,Amalgamated Bank,Washington,DC,200061202,,,,,Bank Fees,2026-05-28,107.67,,,,500751126,202606119870651408,ORG,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,537,C00929372,Arias,Brooklyn,NY,112017375,,,,,Field Organizer Services,2026-04-02,2400.00,,,,500744256,202606119870651409,IND,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,538,C00929372,Arias,Brooklyn,NY,112017375,,,,,Field Organizer Services,2026-04-15,2400.00,,,,500751143,202606119870651409,IND,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,539,C00929372,Arias,Brooklyn,NY,112017375,,,,,Field Organizer Services,2026-04-30,2400.00,,,,500751155,202606119870651409,IND,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,540,C00929372,Arias,Brooklyn,NY,112017375,,,,,Field Organizer Services,2026-05-15,2400.00,,,,500751163,202606119870651410,IND,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,541,C00929372,Arias,Brooklyn,NY,112017375,,,,,Field Organizer Services,2026-05-29,2400.00,,,,500751173,202606119870651410,IND,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,542,C00929372,Bedford Grove LLC,Brooklyn,NY,112017375,,,,,Campaign Consulting,2026-05-08,15000.00,,,,500751121,202606119870651410,ORG,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,543,C00929372,Berger Hirschberg Strategies,Washington,DC,200365526,,,,,Political Strategy Consulting,2026-04-08,6969.97,,,,500751106,202606119870651411,ORG,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,544,C00929372,Berger Hirschberg Strategies,Washington,DC,200365526,,,,,Political Strategy Consulting,2026-04-29,7819.90,,,,500751115,202606119870651411,ORG,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,545,C00929372,Berger Hirschberg Strategies,Washington,DC,200365526,,,,,Political Strategy Consulting,2026-05-07,5541.26,,,,500751119,202606119870651411,ORG,A,,,,,2026-06-11 23:43:29
17,REYNOSO FOR CONGRESS,1982841,546,C00929372,Blue Bird Consulting LLC,Purcellville,VA,201342153,,,,,Compliance Consulting,2026-04-09,9500.00,,,,500744235,202606119870651412,ORG,A,,,,,2026-06-11 23:43:29
